"device_id";"device_type";"manufacturer";"model";"country";"failure_event_count";"downtime";"maintenance_cost";"maintenance_frequency";"maintenance_class";"risk_score"
"MD00028";"MRI Scanner";"RescueTech";"Model-600";"Japan";2;8.47;5969.29;3;1;24.44
"MD00029";"Defibrillator";"ImagingTech";"Model-250";"France";0;8.6;9224.43;4;2;17.82
"MD00030";"CT Scanner";"ScanPro";"Model-250";"USA";1;24.47;7459.77;2;3;36.93
"MD00032";"CT Scanner";"ScanPro";"Model-150";"UK";0;16.65;6163.07;2;2;22.81
"MD00034";"CT Scanner";"ScanPro";"Model-600";"USA";1;12.47;13143.29;1;3;30.61
"MD00035";"X-Ray Machine";"ImagingTech";"Model-550";"Canada";4;11.68;5933.96;2;2;37.61
"MD00036";"CT Scanner";"ImagingTech";"Model-350";"Japan";3;19.13;14833.07;1;3;48.96
"MD00037";"Infusion Pump";"UltraMed";"Model-100";"UK";3;7.96;3610.77;2;1;26.57
"MD00038";"MRI Scanner";"ScanPro";"Model-150";"UK";1;4.73;5919.28;4;1;15.65
"MD00039";"X-Ray Machine";"ScanPro";"Model-100";"USA";1;4.64;5716.26;3;1;15.36
"MD00040";"Defibrillator";"RescueTech";"Model-350";"Italy";1;2.55;3347.66;1;1;10.9
"MD00042";"PET Scanner";"ImagingTech";"Model-400";"Japan";2;2.94;8588.82;3;1;21.53
"MD00043";"Defibrillator";"MedEquip";"Model-400";"Italy";3;1.67;2167.06;2;1;18.84
"MD00044";"Defibrillator";"RescueTech";"Model-550";"Japan";1;5.21;-2424.54;3;2;7.79
"MD00045";"Defibrillator";"RescueTech";"Model-150";"UK";2;12.24;2839.22;1;2;25.08
"MD00046";"PET Scanner";"CardioSync";"Model-200";"Japan";1;9.2;23170.45;4;3;37.37
"MD00047";"PET Scanner";"CardioSync";"Model-450";"France";1;12.19;16792.88;2;3;33.98
"MD00048";"PET Scanner";"MedEquip";"Model-650";"France";2;14.18;3171.35;2;2;27.35
"MD00049";"X-Ray Machine";"CardioSync";"Model-350";"Canada";0;10.85;18151.38;4;2;29.0
"MD00050";"X-Ray Machine";"CardioSync";"Model-600";"Italy";4;19.47;19929.91;3;3;59.4
"MD00051";"CT Scanner";"UltraMed";"Model-650";"France";4;9.03;6976.17;3;1;36.01
"MD00052";"Infusion Pump";"RescueTech";"Model-250";"Italy";2;8.06;7259.12;1;2;25.32
"MD00055";"Infusion Pump";"ImagingTech";"Model-100";"USA";3;5.03;4610.92;4;2;24.64
"MD00056";"X-Ray Machine";"ScanPro";"Model-550";"Italy";3;15.4;18477.33;3;3;48.88
"MD00057";"CT Scanner";"RescueTech";"Model-450";"France";2;3.72;12204.08;2;3;25.92
"MD00058";"MRI Scanner";"MedEquip";"Model-200";"Japan";0;21.14;9643.5;5;3;30.78
"MD00060";"CT Scanner";"CardioSync";"Model-500";"Italy";2;15.07;8832.89;2;2;33.9
"MD00061";"PET Scanner";"RescueTech";"Model-450";"Japan";2;10.48;11600.25;5;3;32.08
"MD00062";"MRI Scanner";"MedEquip";"Model-250";"Italy";1;4.58;7457.81;1;1;17.04
"MD00065";"CT Scanner";"ScanPro";"Model-450";"Canada";0;9.05;17246.99;4;3;26.3
"MD00066";"PET Scanner";"ScanPro";"Model-650";"France";1;7.69;1092.17;4;1;13.78
"MD00067";"PET Scanner";"CardioSync";"Model-200";"Canada";3;6.24;2551.56;1;1;23.79
"MD00068";"Infusion Pump";"CardioSync";"Model-300";"UK";3;3.76;14376.4;1;2;33.14
"MD00069";"MRI Scanner";"ScanPro";"Model-550";"USA";4;3.43;5808.39;1;2;29.24
"MD00070";"Defibrillator";"ImagingTech";"Model-600";"USA";1;4.96;9474.87;3;3;19.43
"MD00071";"X-Ray Machine";"ScanPro";"Model-300";"UK";0;30.34;20508.47;2;3;50.85
"MD00072";"PET Scanner";"ImagingTech";"Model-550";"USA";7;6.22;3144.05;5;2;44.36
"MD00073";"CT Scanner";"CardioSync";"Model-300";"Japan";1;6.61;6128.05;4;2;17.74
"MD00074";"PET Scanner";"RescueTech";"Model-150";"Italy";3;2.0;2901.98;3;1;19.9
"MD00076";"PET Scanner";"RescueTech";"Model-150";"USA";2;30.5;11145.81;4;3;51.65
"MD00077";"PET Scanner";"ScanPro";"Model-300";"Italy";7;8.35;7834.4;2;1;51.18
"MD00079";"X-Ray Machine";"CardioSync";"Model-450";"Japan";0;18.58;8438.73;5;2;27.02
"MD00080";"Infusion Pump";"RescueTech";"Model-300";"France";3;13.58;13789.81;3;3;42.37
"MD00081";"Defibrillator";"ScanPro";"Model-200";"France";0;23.04;13755.82;1;3;36.8
"MD00083";"CT Scanner";"MedEquip";"Model-250";"Italy";1;4.88;2478.89;5;1;12.36
"MD00084";"CT Scanner";"UltraMed";"Model-400";"UK";5;15.67;7694.74;1;2;48.36
"MD00085";"Infusion Pump";"RescueTech";"Model-550";"Japan";1;13.04;7254.61;3;2;25.29
"MD00086";"PET Scanner";"ImagingTech";"Model-150";"USA";3;4.59;3521.74;1;2;23.11
"MD00087";"X-Ray Machine";"ImagingTech";"Model-150";"France";0;3.96;17841.54;2;3;21.8
"MD00088";"X-Ray Machine";"CardioSync";"Model-550";"France";1;8.27;9703.86;4;2;22.97
"MD00089";"Infusion Pump";"MedEquip";"Model-200";"UK";1;14.45;1164.31;1;2;20.61
"MD00090";"CT Scanner";"CardioSync";"Model-550";"USA";3;4.88;5574.72;3;1;25.45
"MD00092";"PET Scanner";"ScanPro";"Model-200";"Canada";2;9.21;6287.84;5;2;25.5
"MD00093";"Defibrillator";"CardioSync";"Model-300";"USA";0;12.69;15397.65;1;3;28.09
"MD00094";"Infusion Pump";"ImagingTech";"Model-500";"Canada";3;26.15;14304.58;2;3;55.45
"MD00095";"X-Ray Machine";"ImagingTech";"Model-500";"Italy";0;7.95;5622.21;1;1;13.57
"MD00097";"CT Scanner";"MedEquip";"Model-450";"Canada";3;22.14;18536.8;5;3;55.68
"MD00098";"X-Ray Machine";"ImagingTech";"Model-500";"Japan";2;17.71;20988.31;3;3;48.7
"MD00099";"PET Scanner";"UltraMed";"Model-300";"Japan";1;8.13;14147.6;4;3;27.28
"MD00100";"Defibrillator";"CardioSync";"Model-100";"USA";2;4.67;3078.09;2;1;17.75
"MD00101";"MRI Scanner";"UltraMed";"Model-650";"Canada";0;20.12;16789.95;3;3;36.91
"MD00102";"Defibrillator";"ImagingTech";"Model-150";"UK";0;5.8;5589.11;3;1;11.39
"MD00105";"CT Scanner";"ImagingTech";"Model-350";"France";2;2.65;7765.85;4;2;20.42
"MD00106";"Infusion Pump";"CardioSync";"Model-200";"France";1;5.26;4340.95;1;1;14.6
"MD00107";"Defibrillator";"CardioSync";"Model-300";"Canada";3;15.32;5262.32;4;2;35.58
"MD00109";"Infusion Pump";"ScanPro";"Model-500";"UK";2;6.55;8094.55;1;2;24.64
"MD00110";"CT Scanner";"CardioSync";"Model-100";"UK";2;1.46;6524.0;3;1;17.98
"MD00111";"MRI Scanner";"MedEquip";"Model-100";"UK";2;8.55;12168.2;5;3;30.72
"MD00113";"MRI Scanner";"ScanPro";"Model-250";"UK";4;12.11;14078.44;3;2;46.19
"MD00114";"Infusion Pump";"UltraMed";"Model-550";"Japan";2;10.57;16619.14;5;3;37.19
"MD00117";"MRI Scanner";"UltraMed";"Model-350";"USA";4;12.68;10286.39;1;2;42.97
"MD00118";"Infusion Pump";"ImagingTech";"Model-450";"Italy";1;22.0;23632.29;5;3;50.63
"MD00119";"CT Scanner";"CardioSync";"Model-650";"USA";2;9.15;6171.32;3;1;25.32
"MD00120";"X-Ray Machine";"ScanPro";"Model-400";"Italy";0;12.14;15464.43;3;3;27.6
"MD00121";"PET Scanner";"UltraMed";"Model-650";"Italy";2;6.54;9419.17;1;3;25.96
"MD00122";"X-Ray Machine";"MedEquip";"Model-650";"UK";3;4.21;4421.4;1;1;23.63
"MD00123";"PET Scanner";"MedEquip";"Model-650";"Japan";3;6.27;9025.83;5;1;30.3
"MD00124";"MRI Scanner";"ScanPro";"Model-500";"Canada";1;12.63;17453.41;4;2;35.08
"MD00126";"X-Ray Machine";"RescueTech";"Model-550";"Japan";1;5.01;6447.06;1;3;16.46
"MD00127";"PET Scanner";"CardioSync";"Model-450";"Japan";4;6.83;5094.75;2;1;31.92
"MD00128";"X-Ray Machine";"MedEquip";"Model-300";"UK";3;8.27;4058.26;5;1;27.33
"MD00129";"Infusion Pump";"MedEquip";"Model-600";"Canada";4;3.24;6510.23;3;1;29.75
"MD00130";"CT Scanner";"UltraMed";"Model-500";"Japan";1;7.52;13658.65;5;3;26.18
"MD00131";"Defibrillator";"MedEquip";"Model-400";"USA";1;29.12;19377.55;1;3;53.5
"MD00133";"X-Ray Machine";"RescueTech";"Model-500";"USA";2;22.12;14269.8;2;3;46.39
"MD00134";"Infusion Pump";"MedEquip";"Model-500";"Japan";5;15.14;8975.34;1;2;49.12
"MD00135";"X-Ray Machine";"ScanPro";"Model-650";"France";4;20.38;3766.76;2;3;44.15
"MD00136";"Infusion Pump";"ScanPro";"Model-350";"Italy";3;12.63;5999.04;2;2;33.63
"MD00137";"PET Scanner";"UltraMed";"Model-200";"Italy";2;20.4;7353.62;5;3;37.75
"MD00138";"X-Ray Machine";"ImagingTech";"Model-250";"UK";1;9.32;7558.27;4;1;21.88
"MD00139";"PET Scanner";"ImagingTech";"Model-350";"France";2;27.22;32751.44;1;3;69.97
"MD00140";"PET Scanner";"MedEquip";"Model-350";"UK";1;7.73;3952.38;3;1;16.68
"MD00141";"X-Ray Machine";"ImagingTech";"Model-450";"Canada";1;15.75;10431.9;2;2;31.18
"MD00142";"PET Scanner";"CardioSync";"Model-650";"Japan";3;11.86;1410.32;2;2;28.27
"MD00145";"CT Scanner";"ScanPro";"Model-200";"UK";0;10.18;8206.57;2;2;18.39
"MD00146";"CT Scanner";"UltraMed";"Model-100";"Japan";1;4.88;5294.41;4;2;15.17
"MD00147";"X-Ray Machine";"MedEquip";"Model-300";"USA";1;7.65;5571.34;4;2;18.22
"MD00148";"Infusion Pump";"ScanPro";"Model-550";"Japan";0;9.43;7153.54;4;2;16.58
"MD00149";"Infusion Pump";"ScanPro";"Model-100";"USA";2;5.99;9546.42;2;2;25.54
"MD00150";"X-Ray Machine";"UltraMed";"Model-350";"USA";1;5.12;16436.24;4;3;26.56
"MD00151";"X-Ray Machine";"MedEquip";"Model-500";"UK";0;1.47;8319.3;2;1;9.79
"MD00152";"Defibrillator";"RescueTech";"Model-650";"Italy";1;18.53;15461.74;3;3;38.99
"MD00153";"Defibrillator";"RescueTech";"Model-450";"UK";1;29.06;5001.36;3;3;39.06
"MD00154";"Infusion Pump";"RescueTech";"Model-600";"USA";0;9.1;-716.46;5;1;8.38
"MD00155";"X-Ray Machine";"ScanPro";"Model-450";"Japan";3;18.01;14510.16;3;3;47.52
"MD00156";"X-Ray Machine";"UltraMed";"Model-600";"France";3;1.64;2139.57;3;1;18.78
"MD00157";"PET Scanner";"MedEquip";"Model-150";"Canada";0;7.92;9493.17;5;3;17.41
"MD00158";"PET Scanner";"ImagingTech";"Model-200";"Italy";1;11.42;7396.33;4;1;23.82
"MD00160";"Infusion Pump";"CardioSync";"Model-350";"Canada";2;10.67;5592.56;5;3;26.26
"MD00162";"CT Scanner";"UltraMed";"Model-200";"UK";2;7.6;2617.71;3;1;20.22
"MD00163";"CT Scanner";"CardioSync";"Model-650";"UK";2;2.99;3428.48;2;1;16.42
"MD00166";"MRI Scanner";"MedEquip";"Model-450";"UK";5;1.37;2385.17;5;1;28.76
"MD00168";"CT Scanner";"CardioSync";"Model-400";"Japan";2;12.48;23566.51;2;3;46.05
"MD00169";"MRI Scanner";"ScanPro";"Model-200";"France";5;3.79;11239.42;1;2;40.03
"MD00170";"MRI Scanner";"UltraMed";"Model-300";"France";3;4.49;6100.14;1;2;25.59
"MD00171";"X-Ray Machine";"ImagingTech";"Model-550";"USA";4;10.18;6304.61;3;1;36.48
"MD00172";"Defibrillator";"RescueTech";"Model-250";"UK";4;14.04;15565.19;1;3;49.61
"MD00173";"MRI Scanner";"UltraMed";"Model-100";"UK";3;5.03;13211.76;4;3;33.24
"MD00176";"CT Scanner";"ImagingTech";"Model-100";"UK";1;7.24;5813.16;1;1;18.05
"MD00177";"Infusion Pump";"CardioSync";"Model-600";"Japan";0;8.25;3271.76;4;2;11.52
"MD00178";"Infusion Pump";"ScanPro";"Model-500";"UK";1;5.05;3530.98;2;1;13.58
"MD00180";"X-Ray Machine";"ScanPro";"Model-400";"Japan";3;13.57;5172.84;2;2;33.74
"MD00181";"PET Scanner";"CardioSync";"Model-250";"USA";0;14.67;21239.63;2;3;35.91
"MD00183";"Infusion Pump";"ScanPro";"Model-400";"Canada";2;13.91;23500.03;5;3;47.41
"MD00184";"PET Scanner";"MedEquip";"Model-150";"USA";2;4.28;1896.38;5;1;16.18
"MD00185";"Infusion Pump";"ImagingTech";"Model-500";"France";4;13.95;13002.81;4;2;46.95
"MD00186";"CT Scanner";"RescueTech";"Model-100";"Canada";0;14.48;27817.01;4;3;42.3
"MD00187";"CT Scanner";"UltraMed";"Model-200";"France";4;5.0;2527.77;2;1;27.53
"MD00190";"Infusion Pump";"CardioSync";"Model-600";"Japan";3;6.3;7720.28;3;2;29.02
"MD00191";"Defibrillator";"MedEquip";"Model-600";"Japan";2;8.69;9127.85;1;2;27.82
"MD00193";"CT Scanner";"ScanPro";"Model-500";"Canada";4;2.62;6446.91;2;1;29.07
"MD00195";"Infusion Pump";"ScanPro";"Model-250";"Canada";2;8.15;6825.77;3;2;24.98
"MD00196";"CT Scanner";"MedEquip";"Model-150";"Italy";1;3.8;4490.63;1;1;13.29
"MD00197";"PET Scanner";"ScanPro";"Model-550";"USA";5;16.8;1704.49;1;2;43.5
"MD00198";"CT Scanner";"ImagingTech";"Model-350";"Japan";4;9.63;2282.17;1;2;31.91
"MD00203";"MRI Scanner";"MedEquip";"Model-400";"Italy";2;14.02;11062.08;1;3;35.08
"MD00204";"Defibrillator";"ScanPro";"Model-250";"Italy";1;12.73;18002.13;4;3;35.73
"MD00205";"CT Scanner";"CardioSync";"Model-500";"Japan";2;13.44;6480.0;4;2;29.92
"MD00208";"CT Scanner";"RescueTech";"Model-650";"USA";3;18.33;7571.07;4;3;40.9
"MD00209";"CT Scanner";"RescueTech";"Model-400";"France";2;23.24;24952.94;5;3;58.19
"MD00211";"CT Scanner";"ImagingTech";"Model-500";"Japan";0;15.48;11507.53;3;2;26.99
"MD00212";"Infusion Pump";"ImagingTech";"Model-500";"UK";3;5.65;6249.24;5;1;26.9
"MD00213";"Infusion Pump";"MedEquip";"Model-550";"Italy";2;21.61;30290.47;4;3;61.9
"MD00214";"MRI Scanner";"ImagingTech";"Model-550";"Canada";3;13.36;11559.92;2;2;39.92
"MD00215";"X-Ray Machine";"UltraMed";"Model-250";"Italy";0;8.54;14356.08;3;3;22.9
"MD00217";"MRI Scanner";"ScanPro";"Model-150";"France";4;25.14;8449.66;5;3;53.59
"MD00218";"PET Scanner";"RescueTech";"Model-200";"UK";2;6.1;14486.44;4;2;30.59
"MD00219";"PET Scanner";"ScanPro";"Model-400";"France";0;7.93;5512.35;2;2;13.44
"MD00220";"X-Ray Machine";"MedEquip";"Model-250";"USA";1;16.24;7996.01;4;2;29.24
"MD00221";"Defibrillator";"ImagingTech";"Model-600";"USA";0;4.51;11575.62;1;3;16.09
"MD00223";"Infusion Pump";"ImagingTech";"Model-400";"UK";1;7.79;8103.3;4;1;20.89
"MD00225";"Defibrillator";"RescueTech";"Model-650";"USA";1;7.32;1873.82;4;1;14.19
"MD00226";"CT Scanner";"RescueTech";"Model-100";"Italy";1;11.17;18130.3;5;2;34.3
"MD00227";"PET Scanner";"ScanPro";"Model-550";"Japan";2;25.3;9723.54;5;3;45.02
"MD00228";"CT Scanner";"ScanPro";"Model-600";"USA";1;15.91;9859.21;1;3;30.77
"MD00229";"PET Scanner";"UltraMed";"Model-300";"Japan";2;8.58;6912.61;4;1;25.49
"MD00230";"X-Ray Machine";"ImagingTech";"Model-400";"Japan";4;9.45;5644.59;1;1;35.09
"MD00231";"MRI Scanner";"UltraMed";"Model-250";"Italy";1;9.23;1768.66;1;1;16.0
"MD00232";"Defibrillator";"ScanPro";"Model-500";"USA";0;7.99;3318.9;3;1;11.31
"MD00234";"Defibrillator";"ImagingTech";"Model-200";"Canada";2;4.67;4231.06;2;1;18.9
"MD00235";"MRI Scanner";"UltraMed";"Model-600";"USA";0;9.82;3656.35;1;1;13.48
"MD00237";"CT Scanner";"RescueTech";"Model-250";"Japan";4;4.86;6053.94;5;1;30.91
"MD00238";"CT Scanner";"UltraMed";"Model-450";"Canada";2;2.41;4378.2;4;1;16.79
"MD00239";"X-Ray Machine";"ScanPro";"Model-400";"UK";2;4.19;4651.89;5;1;18.84
"MD00240";"PET Scanner";"CardioSync";"Model-550";"Canada";1;25.3;13638.98;3;3;43.94
"MD00241";"PET Scanner";"ImagingTech";"Model-450";"Italy";1;3.02;3241.67;3;1;11.26
"MD00242";"MRI Scanner";"UltraMed";"Model-500";"USA";2;13.35;10328.0;5;2;33.68
"MD00245";"PET Scanner";"ImagingTech";"Model-500";"Canada";5;17.21;18553.65;5;3;60.76
"MD00246";"Infusion Pump";"UltraMed";"Model-450";"USA";2;4.8;4394.07;3;1;19.19
"MD00248";"X-Ray Machine";"MedEquip";"Model-500";"USA";0;8.49;1297.39;4;1;9.79
"MD00249";"Infusion Pump";"UltraMed";"Model-200";"USA";2;11.05;3877.94;4;2;24.93
"MD00251";"PET Scanner";"MedEquip";"Model-200";"USA";0;9.85;14550.78;4;2;24.4
"MD00252";"CT Scanner";"CardioSync";"Model-250";"France";1;3.91;3478.82;3;1;12.39
"MD00253";"MRI Scanner";"ScanPro";"Model-250";"USA";5;11.4;9419.78;2;2;45.82
"MD00256";"MRI Scanner";"ImagingTech";"Model-400";"UK";2;3.23;2269.59;4;2;15.5
"MD00257";"PET Scanner";"ScanPro";"Model-400";"Italy";2;4.77;9157.21;2;2;23.93
"MD00258";"X-Ray Machine";"UltraMed";"Model-150";"USA";3;24.11;20583.86;2;3;59.69
"MD00259";"X-Ray Machine";"UltraMed";"Model-450";"USA";2;12.68;8736.26;4;2;31.42
"MD00260";"PET Scanner";"RescueTech";"Model-550";"Canada";2;7.22;9807.61;4;2;27.03
"MD00262";"Infusion Pump";"MedEquip";"Model-150";"Japan";1;5.66;4417.74;3;1;15.08
"MD00263";"CT Scanner";"MedEquip";"Model-200";"Japan";1;3.2;4767.41;5;1;12.97
"MD00264";"Defibrillator";"MedEquip";"Model-250";"Italy";1;7.56;15635.3;5;3;28.2
"MD00265";"CT Scanner";"ScanPro";"Model-600";"Canada";4;16.39;12369.11;5;3;48.76
"MD00267";"CT Scanner";"RescueTech";"Model-450";"Japan";1;10.37;8114.67;1;2;23.48
"MD00268";"Infusion Pump";"RescueTech";"Model-500";"France";2;9.33;17237.19;5;3;36.57
"MD00269";"X-Ray Machine";"CardioSync";"Model-450";"USA";2;3.31;9593.68;1;2;22.9
"MD00271";"Infusion Pump";"RescueTech";"Model-400";"Japan";0;11.52;11027.74;5;2;22.55
"MD00272";"Defibrillator";"MedEquip";"Model-400";"Italy";4;11.47;20247.49;3;3;51.72
"MD00274";"MRI Scanner";"RescueTech";"Model-350";"Italy";0;10.58;13444.85;1;3;24.02
"MD00275";"Infusion Pump";"CardioSync";"Model-500";"Canada";4;5.76;7658.22;4;1;33.42
"MD00276";"CT Scanner";"MedEquip";"Model-150";"Canada";3;12.21;5983.3;5;2;33.19
"MD00277";"Defibrillator";"RescueTech";"Model-350";"Canada";2;3.19;8856.08;3;1;22.05
"MD00278";"X-Ray Machine";"MedEquip";"Model-200";"Japan";7;29.53;12520.84;4;3;77.05
"MD00279";"Infusion Pump";"UltraMed";"Model-450";"USA";1;20.29;2525.91;3;3;27.82
"MD00280";"PET Scanner";"ScanPro";"Model-450";"Japan";0;19.19;17012.77;3;3;36.2
"MD00281";"Defibrillator";"ImagingTech";"Model-350";"Italy";2;9.02;4558.27;4;1;23.58
"MD00282";"PET Scanner";"RescueTech";"Model-350";"France";4;7.49;8871.51;4;1;36.36
"MD00283";"Defibrillator";"RescueTech";"Model-200";"Japan";2;5.31;10009.26;2;2;25.32
"MD00284";"Defibrillator";"UltraMed";"Model-150";"Italy";2;4.03;9256.72;4;2;23.29
"MD00285";"CT Scanner";"UltraMed";"Model-500";"Japan";0;2.97;2734.89;5;1;5.7
"MD00286";"MRI Scanner";"UltraMed";"Model-200";"France";3;16.31;11805.11;4;2;43.12
"MD00287";"PET Scanner";"MedEquip";"Model-150";"Canada";1;18.46;13014.24;3;2;36.47
"MD00288";"Defibrillator";"ScanPro";"Model-350";"UK";0;5.11;2082.93;3;1;7.19
"MD00289";"X-Ray Machine";"MedEquip";"Model-250";"UK";4;4.41;2860.64;4;1;27.27
"MD00293";"Defibrillator";"ImagingTech";"Model-100";"Canada";1;17.49;8501.18;5;3;30.99
"MD00294";"Defibrillator";"ScanPro";"Model-650";"Japan";4;8.22;2737.31;5;1;30.96
"MD00296";"X-Ray Machine";"ImagingTech";"Model-450";"Canada";4;22.37;10588.18;1;3;52.96
"MD00297";"Defibrillator";"UltraMed";"Model-500";"France";1;8.12;6745.49;5;1;19.87
"MD00298";"MRI Scanner";"RescueTech";"Model-500";"France";1;7.84;5886.01;5;2;18.73
"MD00299";"X-Ray Machine";"RescueTech";"Model-250";"Italy";2;2.76;5318.73;4;1;18.08
"MD00300";"Infusion Pump";"MedEquip";"Model-500";"Japan";4;14.73;6851.37;5;2;41.58
"MD00301";"MRI Scanner";"RescueTech";"Model-450";"Italy";1;11.66;13488.85;4;3;30.15
"MD00302";"CT Scanner";"UltraMed";"Model-250";"Canada";0;10.71;3774.07;4;2;14.48
"MD00303";"MRI Scanner";"UltraMed";"Model-150";"Canada";1;6.8;7186.54;4;1;18.99
"MD00306";"Defibrillator";"UltraMed";"Model-150";"France";1;11.07;6862.31;2;1;22.93
"MD00307";"MRI Scanner";"MedEquip";"Model-100";"Canada";3;5.8;3623.24;4;1;24.42
"MD00308";"MRI Scanner";"ImagingTech";"Model-350";"Canada";4;5.22;8882.01;3;1;34.1
"MD00310";"Defibrillator";"CardioSync";"Model-400";"UK";1;14.09;6463.38;2;3;25.55
"MD00311";"Defibrillator";"MedEquip";"Model-300";"Japan";3;31.01;10014.16;5;3;56.02
"MD00312";"Defibrillator";"ImagingTech";"Model-150";"Japan";2;3.25;-1288.12;4;1;11.96
"MD00314";"MRI Scanner";"ScanPro";"Model-200";"Canada";2;23.04;529.44;5;3;33.57
"MD00315";"Defibrillator";"MedEquip";"Model-100";"Italy";2;1.54;7436.91;3;1;18.98
"MD00316";"Infusion Pump";"ImagingTech";"Model-200";"USA";1;10.27;7296.01;1;2;22.57
"MD00317";"Defibrillator";"CardioSync";"Model-650";"Japan";1;24.57;17438.54;2;3;47.01
"MD00318";"CT Scanner";"ImagingTech";"Model-650";"Italy";2;8.32;6644.61;2;2;24.96
"MD00319";"CT Scanner";"ImagingTech";"Model-400";"UK";4;7.45;1696.28;3;1;29.15
"MD00321";"Defibrillator";"MedEquip";"Model-550";"UK";1;4.56;11500.38;3;3;21.06
"MD00323";"MRI Scanner";"ImagingTech";"Model-500";"Canada";5;15.44;9811.82;1;3;50.25
"MD00324";"Defibrillator";"ImagingTech";"Model-650";"UK";3;10.96;6050.12;2;1;32.01
"MD00325";"X-Ray Machine";"ScanPro";"Model-600";"Italy";4;5.45;3158.66;2;1;28.61
"MD00327";"CT Scanner";"ImagingTech";"Model-650";"Canada";3;5.29;3567.92;2;1;23.86
"MD00329";"PET Scanner";"CardioSync";"Model-100";"Canada";2;4.67;4442.43;4;1;19.11
"MD00330";"MRI Scanner";"CardioSync";"Model-350";"Italy";1;15.98;13652.56;2;2;34.63
"MD00331";"X-Ray Machine";"ImagingTech";"Model-600";"UK";3;10.99;222.55;5;3;26.21
"MD00332";"MRI Scanner";"MedEquip";"Model-400";"France";1;16.86;6380.12;4;2;28.24
"MD00333";"MRI Scanner";"ImagingTech";"Model-600";"Canada";0;14.55;7616.32;1;2;22.17
"MD00334";"MRI Scanner";"ScanPro";"Model-150";"France";1;14.01;19083.56;3;3;38.09
"MD00335";"Infusion Pump";"MedEquip";"Model-300";"France";2;14.31;494.95;2;3;24.8
"MD00337";"X-Ray Machine";"UltraMed";"Model-650";"UK";2;13.93;457.46;1;2;24.39
"MD00338";"MRI Scanner";"MedEquip";"Model-550";"Canada";2;10.95;8164.83;2;2;29.11
"MD00339";"CT Scanner";"UltraMed";"Model-500";"Japan";2;6.95;2773.67;2;2;19.72
"MD00340";"X-Ray Machine";"UltraMed";"Model-650";"France";2;18.01;14093.82;5;3;42.1
"MD00341";"X-Ray Machine";"RescueTech";"Model-200";"UK";2;27.19;14117.85;5;3;51.31
"MD00342";"X-Ray Machine";"UltraMed";"Model-400";"UK";2;26.99;16615.85;4;3;53.61
"MD00343";"CT Scanner";"ImagingTech";"Model-350";"Japan";1;17.4;5069.49;3;2;27.47
"MD00344";"Infusion Pump";"UltraMed";"Model-100";"Japan";4;14.73;3560.1;3;2;38.29
"MD00346";"Infusion Pump";"MedEquip";"Model-300";"Canada";0;14.79;3336.33;2;2;18.13
"MD00347";"X-Ray Machine";"UltraMed";"Model-550";"Canada";0;19.9;12762.76;5;3;32.66
"MD00348";"Infusion Pump";"UltraMed";"Model-550";"USA";2;23.68;13249.46;3;3;46.93
